date,datatype,station,attributes,value
2022-02-12,TMAX,GHCND:USW00014732,",,W,2400",156
2022-02-12,TMIN,GHCND:USW00014732,",,W,2400",56
2022-02-13,PRCP,GHCND:USW00014732,",,W,2400",48
2022-02-13,TMAX,GHCND:USW00014732,",,W,2400",56
2022-02-13,TMIN,GHCND:USW00014732,",,W,2400",-32
2022-02-14,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-14,TMAX,GHCND:USW00014732,",,W,2400",-27
2022-02-14,TMIN,GHCND:USW00014732,",,W,2400",-77
2022-02-15,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-15,TMAX,GHCND:USW00014732,",,W,2400",0
2022-02-15,TMIN,GHCND:USW00014732,",,W,2400",-77
2022-02-16,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-16,TMAX,GHCND:USW00014732,",,W,2400",83
2022-02-16,TMIN,GHCND:USW00014732,",,W,2400",-27
2022-02-17,PRCP,GHCND:USW00014732,",,W,2400",76
2022-02-17,TMAX,GHCND:USW00014732,",,W,2400",172
2022-02-17,TMIN,GHCND:USW00014732,",,W,2400",83
2022-02-18,PRCP,GHCND:USW00014732,",,W,2400",64
2022-02-18,TMAX,GHCND:USW00014732,",,W,2400",172
2022-02-18,TMIN,GHCND:USW00014732,",,W,2400",-21
2022-02-19,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-02-19,TMAX,GHCND:USW00014732,",,W,2400",50
2022-02-19,TMIN,GHCND:USW00014732,",,W,2400",-38
2022-02-20,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-20,TMAX,GHCND:USW00014732,",,W,2400",22
2022-02-20,TMIN,GHCND:USW00014732,",,W,2400",-55
2022-02-21,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-21,TMAX,GHCND:USW00014732,",,W,2400",122
2022-02-21,TMIN,GHCND:USW00014732,",,W,2400",6
2022-02-22,PRCP,GHCND:USW00014732,",,W,2400",58
2022-02-22,TMAX,GHCND:USW00014732,",,W,2400",133
2022-02-22,TMIN,GHCND:USW00014732,",,W,2400",22
2022-02-23,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-02-23,TMAX,GHCND:USW00014732,",,W,2400",200
2022-02-23,TMIN,GHCND:USW00014732,",,W,2400",22
2022-02-24,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-02-24,TMAX,GHCND:USW00014732,",,W,2400",22
2022-02-24,TMIN,GHCND:USW00014732,",,W,2400",-16
2022-02-25,PRCP,GHCND:USW00014732,",,W,2400",208
2022-02-25,TMAX,GHCND:USW00014732,",,W,2400",61
2022-02-25,TMIN,GHCND:USW00014732,",,W,2400",-27
2022-02-26,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-26,TMAX,GHCND:USW00014732,",,W,2400",33
2022-02-26,TMIN,GHCND:USW00014732,",,W,2400",-43
2022-02-27,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-27,TMAX,GHCND:USW00014732,",,W,2400",89
2022-02-27,TMIN,GHCND:USW00014732,",,W,2400",-10
2022-02-28,PRCP,GHCND:USW00014732,",,W,2400",0
2022-02-28,TMAX,GHCND:USW00014732,",,W,2400",22
2022-02-28,TMIN,GHCND:USW00014732,",,W,2400",-27
2022-03-01,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-01,TMAX,GHCND:USW00014732,",,W,2400",89
2022-03-01,TMIN,GHCND:USW00014732,",,W,2400",-5
2022-03-02,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-02,TMAX,GHCND:USW00014732,",,W,2400",117
2022-03-02,TMIN,GHCND:USW00014732,",,W,2400",44
2022-03-03,PRCP,GHCND:USW00014732,",,W,2400",8
2022-03-03,TMAX,GHCND:USW00014732,",,W,2400",89
2022-03-03,TMIN,GHCND:USW00014732,",,W,2400",-38
2022-03-04,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-04,TMAX,GHCND:USW00014732,",,W,2400",33
2022-03-04,TMIN,GHCND:USW00014732,",,W,2400",-55
2022-03-05,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-05,TMAX,GHCND:USW00014732,",,W,2400",72
2022-03-05,TMIN,GHCND:USW00014732,",,W,2400",-5
2022-03-06,PRCP,GHCND:USW00014732,",,W,2400",13
2022-03-06,TMAX,GHCND:USW00014732,",,W,2400",200
2022-03-06,TMIN,GHCND:USW00014732,",,W,2400",39
2022-03-07,PRCP,GHCND:USW00014732,",,W,2400",13
2022-03-07,TMAX,GHCND:USW00014732,",,W,2400",233
2022-03-07,TMIN,GHCND:USW00014732,",,W,2400",100
2022-03-08,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-08,TMAX,GHCND:USW00014732,",,W,2400",100
2022-03-08,TMIN,GHCND:USW00014732,",,W,2400",44
2022-03-09,PRCP,GHCND:USW00014732,",,W,2400",147
2022-03-09,TMAX,GHCND:USW00014732,",,W,2400",50
2022-03-09,TMIN,GHCND:USW00014732,",,W,2400",6
2022-03-10,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-10,TMAX,GHCND:USW00014732,",,W,2400",100
2022-03-10,TMIN,GHCND:USW00014732,",,W,2400",0
2022-03-11,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-11,TMAX,GHCND:USW00014732,",,W,2400",117
2022-03-11,TMIN,GHCND:USW00014732,",,W,2400",22
2022-03-12,PRCP,GHCND:USW00014732,",,W,2400",119
2022-03-12,TMAX,GHCND:USW00014732,",,W,2400",83
2022-03-12,TMIN,GHCND:USW00014732,",,W,2400",-38
2022-03-13,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-03-13,TMAX,GHCND:USW00014732,",,W,2400",17
2022-03-13,TMIN,GHCND:USW00014732,",,W,2400",-49
2022-03-14,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-14,TMAX,GHCND:USW00014732,",,W,2400",139
2022-03-14,TMIN,GHCND:USW00014732,",,W,2400",11
2022-03-15,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-03-15,TMAX,GHCND:USW00014732,",,W,2400",200
2022-03-15,TMIN,GHCND:USW00014732,",,W,2400",78
2022-03-16,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-16,TMAX,GHCND:USW00014732,",,W,2400",178
2022-03-16,TMIN,GHCND:USW00014732,",,W,2400",61
2022-03-17,PRCP,GHCND:USW00014732,",,W,2400",28
2022-03-17,TMAX,GHCND:USW00014732,",,W,2400",128
2022-03-17,TMIN,GHCND:USW00014732,",,W,2400",56
2022-03-18,PRCP,GHCND:USW00014732,",,W,2400",0
2022-03-18,TMAX,GHCND:USW00014732,",,W,2400",228
2022-03-18,TMIN,GHCND:USW00014732,",,W,2400",94
2022-03-19,PRCP,GHCND:USW00014732,",,W,2400",18
2022-03-19,TMAX,GHCND:USW00014732,",,W,2400",200
2022-03-19,TMIN,GHCND:USW00014732,",,W,2400",78
